,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],3226.41,3002.38,2694.31,2238.63,1500.01
Less: Excise/Sevice Tax/Other Levies,2.12,12.46,0.27,0.00,0.00
Revenue From Operations [Net],3224.29,2989.92,2694.04,2238.63,1500.01
Total Operating Revenues,3224.29,2989.92,2694.04,2238.63,1500.01
Other Income,24.77,35.18,32.90,11.74,13.82
Total Revenue,3249.06,3025.10,2726.94,2250.37,1513.84
EXPENSES,,,,
Cost Of Materials Consumed,17.23,84.88,2.87,0.00,0.00
Changes In Inventories Of FG/WIP And Stock-In Trade,-3.81,0.28,-0.30,0.00,0.00
Employee Benefit Expenses,1932.86,1741.96,1380.40,1140.81,771.78
Finance Costs,15.19,25.98,25.77,14.15,7.32
Depreciation And Amortisation Expenses,69.13,85.13,53.95,47.15,44.49
Other Expenses,842.71,838.40,933.45,762.23,511.65
Total Expenses,2873.30,2776.63,2396.14,1964.34,1335.25
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,375.77,248.47,330.79,286.03,178.59
Exceptional Items,-11.30,0.00,12.24,-1.30,10.05
Profit/Loss Before Tax,364.47,248.47,343.03,284.72,188.63
Tax Expenses-Continued Operations,,,,
Current Tax,94.13,28.00,115.94,85.92,47.24
Less: MAT Credit Entitlement,4.14,0.00,0.00,3.99,2.57
Deferred Tax,-7.03,-16.52,-21.86,-4.58,-4.26
Tax For Earlier Years,0.00,0.00,0.00,-0.79,3.25
Total Tax Expenses,82.97,11.48,94.08,76.56,43.67
Profit/Loss After Tax And Before ExtraOrdinary Items,281.50,236.99,248.95,208.16,144.97
Profit/Loss From Continuing Operations,281.50,236.99,248.95,208.16,144.97
Profit/Loss For The Period,281.50,236.99,248.95,208.16,144.97
Minority Interest,0.00,0.00,0.00,-8.61,-3.15
Share Of Profit/Loss Of Associates,0.00,0.00,0.00,-0.54,3.53
Consolidated Profit/Loss After MI And Associates,281.50,236.99,248.95,199.01,145.35
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),15.00,12.00,13.00,11.00,8.00
Diluted EPS (Rs.),14.00,12.00,13.00,11.00,8.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,42.44,21.73,21.38,17.38,12.47
Tax On Dividend,9.17,4.34,3.77,2.82,2.02
